Datum;Schätzer_Neuerkrankungen;UG_PI_Neuerkrankungen;OG_PI_Neuerkrankungen;Schätzer_Neuerkrankungen_ma4;UG_PI_Neuerkrankungen_ma4;OG_PI_Neuerkrankungen_ma4;Schätzer_Reproduktionszahl_R;UG_PI_Reproduktionszahl_R;OG_PI_Reproduktionszahl_R;Schätzer_7_Tage_R_Wert;UG_PI_7_Tage_R_Wert;OG_PI_7_Tage_R_Wert
02.03.2020;304;292;319;225;213;238;.;.;.;.;.;.
03.03.2020;321;304;337;261;248;276;.;.;.;.;.;.
04.03.2020;448;430;467;326;311;342;.;.;.;.;.;.
05.03.2020;503;485;525;394;378;412;.;.;.;.;.;.
06.03.2020;757;732;783;507;488;528;2,25;2,18;2,33;2,34;2,28;2,39
07.03.2020;984;958;1010;673;651;696;2,58;2,49;2,68;2,56;2,51;2,61
08.03.2020;1336;1308;1370;895;870;922;2,75;2,68;2,83;2,93;2,88;2,98
09.03.2020;2021;1985;2052;1274;1245;1304;3,23;3,16;3,30;3,13;3,08;3,18
10.03.2020;2573;2529;2623;1728;1695;1764;3,41;3,33;3,49;3,22;3,18;3,26
11.03.2020;3237;3190;3283;2292;2253;2332;3,41;3,33;3,49;3,12;3,08;3,16
12.03.2020;3601;3537;3648;2858;2810;2901;3,19;3,14;3,25;2,84;2,82;2,87
13.03.2020;4356;4301;4408;3442;3389;3490;2,70;2,66;2,74;2,50;2,48;2,52
14.03.2020;4433;4373;4492;3907;3850;3958;2,26;2,23;2,29;2,18;2,17;2,20
15.03.2020;4678;4618;4734;4267;4207;4320;1,86;1,84;1,88;1,99;1,98;2,00
16.03.2020;6016;5952;6075;4871;4811;4927;1,70;1,68;1,72;1,74;1,73;1,75
17.03.2020;5235;5166;5296;5090;5027;5149;1,48;1,46;1,49;1,56;1,55;1,57
18.03.2020;5288;5231;5346;5304;5242;5363;1,36;1,34;1,37;1,39;1,39;1,40
19.03.2020;4725;4668;4780;5316;5254;5374;1,25;1,24;1,26;1,24;1,23;1,24
20.03.2020;5329;5262;5380;5144;5082;5200;1,06;1,05;1,07;1,13;1,13;1,14
21.03.2020;4442;4383;4501;4946;4886;5001;0,97;0,96;0,98;1,04;1,03;1,04
22.03.2020;3818;3759;3866;4578;4518;4631;0,86;0,86;0,87;0,98;0,97;0,98
23.03.2020;5157;5095;5222;4686;4625;4742;0,88;0,87;0,89;0,92;0,92;0,92
24.03.2020;4076;4024;4138;4373;4315;4432;0,85;0,84;0,86;0,90;0,89;0,90
